comparison,dataset,VIF_jittor,VIF_pytorch,VIF_delta,SCD_jittor,SCD_pytorch,SCD_delta,MI_jittor,MI_pytorch,MI_delta,Qabf_jittor,Qabf_pytorch,Qabf_delta,SSIM_jittor,SSIM_pytorch,SSIM_delta,MS_SSIM_jittor,MS_SSIM_pytorch,MS_SSIM_delta,FMI_jittor,FMI_pytorch,FMI_delta
released_checkpoint,M3FD_2x,0.759335174454151,0.759280995321528,5.4179132622955706e-05,1.66008595768528,1.66012680128677,-4.0843601490037074e-05,3.77083311104812,3.77017223346511,0.0006608775830101443,0.653688855362055,0.653654616328185,3.423903387000937e-05,0.964494663286036,0.964489947360751,4.715925284948241e-06,0.923054672928329,0.923058917386689,-4.2444583600032004e-06,0.882751787904738,0.882748475177807,3.3127269309929375e-06
released_checkpoint,MSRS,1.06089550833546,1.06088618156829,9.326767170136918e-06,1.70020508927228,1.70023695182964,-3.186255736009613e-05,5.11083911211227,5.10993243051876,0.0009066815935101502,0.715260618045203,0.71524449674838,1.6121296823046194e-05,0.980833927397879,0.980834889286468,-9.618885890017026e-07,0.97508040124125,0.975079283852277,1.1173889729043651e-06,0.9326693992436,0.932670037366345,-6.38122744978098e-07
released_checkpoint,TNO,0.835515375534199,0.835492206200169,2.316933403001542e-05,1.72450602669135,1.7244954966958,1.052999554995715e-05,3.50711206093319,3.50801170636329,-0.0008996454301000156,0.587575338329954,0.587576794188817,-1.4558588630197988e-06,0.931762035138029,0.931755515269973,6.519868055998579e-06,0.90437157119684,0.904369411997118,2.159199722018279e-06,0.914384004579895,0.914383210269708,7.943101869578584e-07
self_trained,M3FD_2x,0.725593174838937,0.739027404782821,-0.01343422994388399,1.67016148047432,1.72396029016265,-0.053798809688330174,3.86433290655513,3.54656120439899,0.31777170215614037,0.629573015951506,0.649051369371838,-0.019478353420331995,0.962757051464399,0.968318748676322,-0.0055616972119229,0.923434183795524,0.934148159718615,-0.01071397592309098,0.878365031461108,0.880839898942591,-0.0024748674814829563
self_trained,MSRS,1.06628861749619,1.05156961245039,0.014719005045800149,1.69085934448371,1.70379454826198,-0.012935203778270177,5.46050400704359,5.04307908667298,0.4174249203706095,0.710271225385783,0.70981433977072,0.000456885615063074,0.973810229887843,0.979919079180194,-0.006108849292351004,0.971632182491413,0.974917762002898,-0.003285579511485004,0.932555524275801,0.932429800428166,0.00012572384763498423
self_trained,TNO,0.802736583795264,0.799915154709755,0.002821429085508975,1.73684304020553,1.75452801005885,-0.01768496985332013,3.33437772664825,3.16245461380501,0.17192311284324013,0.567382252016643,0.577162557335859,-0.00978030531921592,0.947852270200331,0.946519880054498,0.0013323901458329734,0.915246304715316,0.917269077636516,-0.002022772921200011,0.911661656388683,0.91197217926581,-0.0003105228771269619
