name,width,height,seconds,fps
00000.png,,,0.0031562810763716698,316.82856368088693
00011.png,,,0.004695036448538303,212.99089175576646
00025.png,,,0.002530575729906559,395.1669923100562
00031.png,,,0.002528570592403412,395.48035676927566
00033.png,,,0.002515248954296112,397.5749590480789
00042.png,,,0.0026634233072400093,375.4566528278439
00061.png,,,0.0025626197457313538,390.2256671774013
00071.png,,,0.0024691401049494743,404.99929428689217
00082.png,,,0.0024311458691954613,411.3286712536627
00097.png,,,0.0025993306189775467,384.7144309765999
00107.png,,,0.002437060698866844,410.3303624997803
00112.png,,,0.002475351095199585,403.9830963531947
00118.png,,,0.0024767983704805374,403.74703565635195
00147.png,,,0.0024836333468556404,402.6359209848878
00149.png,,,0.0024956511333584785,400.6970311809037
00150.png,,,0.0024716882035136223,404.5817747474995
00159.png,,,0.0024656038731336594,405.58015458056934
00177.png,,,0.0025293100625276566,395.36473397043846
00196.png,,,0.00241843331605196,413.49083034982266
00202.png,,,0.002619383856654167,381.7691696692885
00210.png,,,0.002699587494134903,370.4269641834503
00215.png,,,0.002732624299824238,365.9485865160168
00232.png,,,0.0028371037915349007,352.4721242076908
00242.png,,,0.0025596655905246735,390.6760335028853
00255.png,,,0.0026046698912978172,383.92581084497215
00274.png,,,0.002787982113659382,358.68235850603946
00284.png,,,0.0026873117312788963,372.11909149226176
00290.png,,,0.0026602214202284813,375.9085587372317
00306.png,,,0.00315666850656271,316.78967808022963
00320.png,,,0.002515840344130993,397.48150248596727
00325.png,,,0.0025101201608777046,398.3873025625728
00334.png,,,0.002510598860681057,398.31134143378335
00339.png,,,0.002491709776222706,401.33084901883905
00349.png,,,0.004284447990357876,233.40229645697508
00353.png,,,0.0024410896003246307,409.6531318911907
00370.png,,,0.002435624599456787,410.5723025720089
00385.png,,,0.002431947737932205,411.193046792306
00386.png,,,0.0024742847308516502,404.1572045169593
00388.png,,,0.004175099544227123,239.5152473388789
00389.png,,,0.004017028957605362,248.9402019636228
00390.png,,,0.002617538906633854,382.03825641927006
00400.png,,,0.0024085426703095436,415.18882448176885
00405.png,,,0.0024788659065961838,403.410284250968
00409.png,,,0.0026111258193850517,382.9765661141181
00419.png,,,0.002457946538925171,406.84367384055776
00421.png,,,0.0025786645710468292,387.7976264256976
00434.png,,,0.002499268390238285,400.11709182808414
00441.png,,,0.0027321670204401016,366.0098348741939
00443.png,,,0.0028680721297860146,348.66626596124325
00449.png,,,0.002573227509856224,388.6170174108988
00453.png,,,0.0024905698373913765,401.5145389568358
00461.png,,,0.0024835392832756042,402.65117074414627
00479.png,,,0.002664392814040184,375.3200334164083
00489.png,,,0.002397441305220127,417.1113586066219
00497.png,,,0.00243940856307745,409.9354307170441
00512.png,,,0.002523871138691902,396.21674207911036
00525.png,,,0.002437037415802479,410.3342827302122
00527.png,,,0.002551604062318802,391.91033388277236
00537.png,,,0.0024715596809983253,404.60281323090476
00555.png,,,0.0024765562266111374,403.78651179197215
00572.png,,,0.0024748537689447403,404.0642774730051
00587.png,,,0.0026161689311265945,382.23831347518234
00606.png,,,0.0024421056732535362,409.48268985745125
00621.png,,,0.0024217190220952034,412.929820047756
00633.png,,,0.004257986322045326,234.85279762938492
00643.png,,,0.002543884329497814,393.0996344465902
00652.png,,,0.002470755949616432,404.73442962071715
00653.png,,,0.0026944251731038094,371.13667508089026
00661.png,,,0.0024635354056954384,405.92069336129845
00671.png,,,0.002572163939476013,388.77770761521305
00676.png,,,0.002506522461771965,398.95912175191853
00677.png,,,0.0024908604100346565,401.46770006517005
00687.png,,,0.0024478500708937645,408.52175216551467
00697.png,,,0.002444293349981308,409.11619712406747
00712.png,,,0.0024950485676527023,400.7938013570543
00716.png,,,0.0025484850630164146,392.3899788592008
00719.png,,,0.00291279423981905,343.31295576240996
00725.png,,,0.0026640919968485832,375.362412853206
00726.png,,,0.00263848714530468,379.0050680290598
00738.png,,,0.002432292327284813,411.1347919747409
00760.png,,,0.0024813851341605186,403.00072174741695
00762.png,,,0.0025306614115834236,395.1536129735761
00769.png,,,0.002482435666024685,402.83017750924313
00787.png,,,0.0024701999500393867,404.8255283885239
00800.png,,,0.0024261996150016785,412.1672404103931
00801.png,,,0.002426878549158573,412.0519340972838
00805.png,,,0.0025095567107200623,398.4767491917216
00818.png,,,0.002453964203596115,407.5039067540468
00825.png,,,0.0030661597847938538,326.14086355164716
00826.png,,,0.002376992255449295,420.6997299665083
00829.png,,,0.0025531556457281113,391.6721652568185
00834.png,,,0.002405688166618347,415.6814727179252
00857.png,,,0.0024915775284171104,401.35215083405257
00867.png,,,0.0024120602756738663,414.5833377736078
00871.png,,,0.002455012872815132,407.3298397223118
00878.png,,,0.0024671144783496857,405.33181932802927
00896.png,,,0.002404848113656044,415.82667708677843
00910.png,,,0.0024630222469568253,406.0052649688995
00916.png,,,0.0024408893659710884,409.68673711360856
00922.png,,,0.0024999957531690598,400.0006794941047
00926.png,,,0.002631882205605507,379.95621455631743
00950.png,,,0.0024491548538208008,408.30411292285225
00958.png,,,0.0024997442960739136,400.0409168132097
00965.png,,,0.002490190789103508,401.5756561207141
00976.png,,,0.0027756597846746445,360.2747013597768
00994.png,,,0.0026630833745002747,375.5045784804425
01017.png,,,0.002690228633582592,371.7156183369793
01034.png,,,0.0024618329480290413,406.2014040394602
01043.png,,,0.004591409116983414,217.79806036039034
01079.png,,,0.002517109736800194,397.2810503173463
01093.png,,,0.0024877721443772316,401.9660732435493
01101.png,,,0.0024757208302617073,403.92276373677015
