2026/07/27 09:55:58.633, 0, 0, 24.26
2026/07/27 09:55:59.671, 0, 0, 24.43
2026/07/27 09:56:00.749, 9, 593, 63.40
2026/07/27 09:56:01.849, 12, 955, 111.69
2026/07/27 09:56:02.899, 6, 1415, 112.15
2026/07/27 09:56:03.965, 100, 2681, 201.78
2026/07/27 09:56:05.026, 32, 2681, 229.59
2026/07/27 09:56:06.133, 50, 2681, 221.01
2026/07/27 09:56:07.224, 55, 2681, 221.06
2026/07/27 09:56:08.315, 51, 2681, 210.26
2026/07/27 09:56:09.366, 55, 2681, 211.10
2026/07/27 09:56:10.457, 52, 2681, 210.30
2026/07/27 09:56:11.549, 39, 2681, 206.49
2026/07/27 09:56:12.641, 41, 2681, 211.38
2026/07/27 09:56:13.733, 51, 2681, 204.44
2026/07/27 09:56:14.787, 0, 2681, 201.43
2026/07/27 09:56:15.857, 49, 2681, 216.24
2026/07/27 09:56:16.930, 51, 2681, 237.57
2026/07/27 09:56:18.001, 14, 2681, 214.24
2026/07/27 09:56:19.089, 51, 2681, 231.88
2026/07/27 09:56:20.184, 15, 2681, 214.98
2026/07/27 09:56:21.253, 12, 2681, 210.69
2026/07/27 09:56:22.345, 54, 2681, 221.01
2026/07/27 09:56:23.433, 32, 2681, 211.00
2026/07/27 09:56:24.521, 50, 2681, 243.21
2026/07/27 09:56:25.571, 51, 2681, 213.93
2026/07/27 09:56:26.661, 28, 2681, 235.65
2026/07/27 09:56:27.710, 36, 2681, 230.37
2026/07/27 09:56:28.801, 10, 2681, 225.20
2026/07/27 09:56:29.850, 50, 2681, 230.89
2026/07/27 09:56:30.940, 54, 2681, 236.74
2026/07/27 09:56:32.028, 51, 2681, 225.20
2026/07/27 09:56:33.122, 25, 2681, 225.42
2026/07/27 09:56:34.192, 27, 2681, 226.46
2026/07/27 09:56:35.281, 15, 2681, 221.91
2026/07/27 09:56:36.348, 49, 2681, 226.40
2026/07/27 09:56:37.445, 28, 2681, 223.65
2026/07/27 09:56:38.545, 27, 2681, 226.47
2026/07/27 09:56:39.645, 33, 2681, 239.61
2026/07/27 09:56:40.698, 37, 2681, 226.62
2026/07/27 09:56:41.797, 55, 2681, 237.51
2026/07/27 09:56:42.876, 49, 2681, 234.20
2026/07/27 09:56:43.926, 6, 2681, 208.77
2026/07/27 09:56:45.021, 0, 0, 153.53
2026/07/27 09:56:46.070, 10, 387, 134.74
2026/07/27 09:56:47.168, 8, 853, 119.49
2026/07/27 09:56:48.222, 10, 1193, 119.17
2026/07/27 09:56:49.321, 32, 4003, 123.13
2026/07/27 09:56:50.425, 100, 4003, 312.95
2026/07/27 09:56:51.521, 0, 4005, 245.60
2026/07/27 09:56:52.578, 86, 6223, 243.38
2026/07/27 09:56:53.630, 70, 6227, 242.60
2026/07/27 09:56:54.729, 34, 6227, 238.72
2026/07/27 09:56:55.781, 22, 6227, 238.29
2026/07/27 09:56:56.856, 45, 6227, 244.78
2026/07/27 09:56:57.949, 17, 6227, 242.52
2026/07/27 09:56:59.044, 33, 0, 179.30
2026/07/27 09:57:00.140, 12, 345, 146.10
2026/07/27 09:57:01.237, 1, 691, 136.39
2026/07/27 09:57:02.332, 4, 1231, 120.32
2026/07/27 09:57:03.405, 96, 7703, 273.31
2026/07/27 09:57:04.457, 56, 7703, 267.83
2026/07/27 09:57:05.549, 100, 7703, 213.14
2026/07/27 09:57:06.648, 88, 7703, 220.86
2026/07/27 09:57:07.744, 48, 7703, 217.73
2026/07/27 09:57:08.792, 69, 7703, 227.42
2026/07/27 09:57:09.868, 17, 7703, 219.32
2026/07/27 09:57:10.945, 52, 7703, 223.26
2026/07/27 09:57:12.048, 97, 7703, 224.54
2026/07/27 09:57:13.098, 51, 7703, 220.91
2026/07/27 09:57:14.150, 67, 7703, 228.41
2026/07/27 09:57:15.201, 100, 7703, 217.98
2026/07/27 09:57:16.295, 88, 7703, 217.15
2026/07/27 09:57:17.368, 39, 7703, 217.73
2026/07/27 09:57:18.441, 53, 7703, 225.68
2026/07/27 09:57:19.536, 64, 7703, 228.12
2026/07/27 09:57:20.585, 94, 7703, 230.43
2026/07/27 09:57:21.676, 5, 7703, 217.89
2026/07/27 09:57:22.752, 1, 7703, 218.20
2026/07/27 09:57:23.805, 48, 7703, 225.20
2026/07/27 09:57:24.858, 40, 7703, 223.46
2026/07/27 09:57:25.910, 94, 7703, 227.19
2026/07/27 09:57:27.004, 79, 7703, 222.28
2026/07/27 09:57:28.076, 77, 7703, 225.97
2026/07/27 09:57:29.148, 77, 7703, 224.62
2026/07/27 09:57:30.194, 99, 7703, 218.89
2026/07/27 09:57:31.292, 81, 7703, 219.19
2026/07/27 09:57:32.388, 0, 7703, 231.16
2026/07/27 09:57:33.442, 75, 7703, 230.76
2026/07/27 09:57:34.532, 72, 7703, 225.93
2026/07/27 09:57:35.625, 34, 7703, 218.10
