image_names,VIF,SCD,MI,Qabf,SSIM,MS_SSIM,FMI
00000.png,0.744799781223147,1.78255419105365,2.64063478320667,0.699332489538173,0.970622653624037,0.933203575601794,0.890836499887868
00011.png,0.73516133853613,1.79046395120625,2.59013036925851,0.696623678247269,0.969969986851853,0.932269485241478,0.888299088565935
00025.png,0.821061350291719,1.77624981031534,2.8943424155018,0.682193235136381,0.977638781987065,0.944052560168159,0.90306049251876
00031.png,0.797187386524806,1.78885954657828,2.94936547050885,0.681770492820836,0.978209418973498,0.947328468548726,0.902426365590998
00033.png,0.711349391649837,1.7830888959607,2.52228173571803,0.686330347092302,0.969101106000759,0.934344262088854,0.888503536757875
00042.png,0.805606784969051,1.72127730058802,3.03950314325361,0.69513016141434,0.979238739894968,0.943806205279073,0.898361579524678
00061.png,0.844557266582531,1.78844848488879,3.15400102005894,0.706127559139984,0.981723627907063,0.958845153647701,0.916757005383479
00071.png,0.889693547999694,1.78492304515743,3.41753833358388,0.726335112409131,0.985186432975893,0.961971338654237,0.919534273425938
00082.png,0.801579716370435,1.69140560010179,2.29197462093493,0.680083550793996,0.968822742736012,0.913873193225139,0.88988520394137
00097.png,0.873470901662441,1.62283047850773,3.3029792587317,0.679660762815368,0.977286077641091,0.943241405888432,0.90844168325004
00107.png,0.795511685486318,1.72153452927044,2.26383326743439,0.700464752342616,0.973950768702513,0.930708137149132,0.886977159804514
00112.png,0.788289859014968,1.56042116648031,2.82242122089307,0.695492848432232,0.973580732421894,0.929499232012006,0.890153755113928
00118.png,0.760803977944691,1.61652038810914,2.83814783248198,0.680390110370646,0.965193753349867,0.908067216463737,0.895994158748766
00147.png,0.86096193731522,1.6233396811406,3.04217947201529,0.71659094585409,0.980742070147218,0.949723958523579,0.887232973534918
00149.png,0.912478469578215,1.6618092480094,3.60058711711272,0.724904843724064,0.978303253206366,0.961226470621852,0.890134362931141
00150.png,0.904700201913424,1.62646062467916,3.4591988102,0.730352116410056,0.979622326146294,0.962766800676077,0.88590785160438
00159.png,0.83046793388234,1.62018979362376,3.13859552711342,0.682533338952152,0.974082111401745,0.948112846158439,0.894449848020574
00177.png,0.886024184520155,1.57395958024524,3.31296839392209,0.727879642553198,0.978016511106775,0.954611678580489,0.887191901669557
00196.png,0.925713829167121,1.37568069411573,3.58239063783528,0.783395686295062,0.98259812049223,0.964447826623833,0.859741561814428
00202.png,0.897844435591467,1.52325433687922,3.33126886758881,0.729700895330683,0.977382289406377,0.957895220398158,0.889559071790786
00210.png,0.883265029516392,1.71581882629148,3.16247179769912,0.692800668669224,0.979631924304458,0.960714173739108,0.88527101696206
00215.png,0.919918134162384,1.62657981079885,3.50548459101451,0.704194927207756,0.97931671631511,0.955059613677221,0.882286330727073
00232.png,0.837125825239772,1.57799519914493,2.86105423505147,0.681169907337848,0.975294510218555,0.94252494654489,0.888422214533351
00242.png,0.847155126596148,1.73531561889116,3.01312310643429,0.661342224548304,0.977143281129135,0.944918709028905,0.904269928361344
00255.png,0.96712457111591,1.62553254405037,4.42828984888583,0.658106804970199,0.97935695138548,0.954294330178443,0.919068021663023
00274.png,0.960569772898057,1.59581780028619,4.4642720694587,0.665707777931764,0.979012193282851,0.949575928787272,0.910252494989694
00284.png,0.936905782911131,1.60697596548456,4.36655568581626,0.651882153218827,0.979870414633668,0.950593312952759,0.914305616240412
00290.png,0.955205764146191,1.62401332052283,4.23229142614816,0.654866310907129,0.98049931992642,0.950866957295899,0.911738430934253
00306.png,0.920032477053955,1.63375655115072,4.05097033164048,0.644727823145289,0.978358622394376,0.944990293018697,0.909566966215026
00320.png,0.958433693326195,1.59722611131382,4.39235666330295,0.696572893540117,0.977011232039697,0.947027653534361,0.899291173203754
00325.png,0.885117084718032,1.63014009460701,5.33645575839904,0.528636772391241,0.958460031333511,0.964249289425046,0.907109447621707
00334.png,0.997570867216047,1.63680422391572,6.36828094718794,0.58600644946601,0.963182708842217,0.967803770893313,0.909419045970702
00339.png,0.97093292000347,1.65527793881757,4.02280981958049,0.647046546704994,0.976044129820963,0.963191948802463,0.923265508158604
00349.png,0.739881912258802,1.72869885563255,1.92548628161729,0.594416540578924,0.971735534030904,0.92708013700943,0.908677460635809
00353.png,0.738118280664502,1.72756101598067,1.90757920878095,0.592810950298646,0.971618167310259,0.924513301101438,0.909109755339477
00370.png,0.739621407746945,1.72749321789807,1.97641560671044,0.588401208174457,0.970763733805846,0.924211128052327,0.906385923945571
00385.png,0.728556732023291,1.72147186820847,1.91403980786122,0.591292758003096,0.973056596309353,0.932842522740092,0.904050541548326
00386.png,0.969841305384767,1.68710220244185,3.20051598120002,0.683120354590263,0.978483651871607,0.96604048923111,0.904459606278738
