framework,epoch,loss_total,loss_joint_grad,loss_intensity,loss_sobel
PyTorch,0,0.17272357171476815,0.00582209290687076,0.16303087269591393,0.09819955512811647
PyTorch,1,0.14080552303020458,0.005481807619109866,0.14003851373804693,0.071983595021835
PyTorch,2,0.1345137323824416,0.005526626120304045,0.14379936209488137,0.06486753434685531
PyTorch,3,0.13358238911563733,0.005502529330246986,0.14394487874623027,0.06416260769642959
PyTorch,4,0.13176070428758024,0.005596061877621994,0.14120658722668422,0.061679426336956916
PyTorch,5,0.1327992564421205,0.005654193322040791,0.14151874186929514,0.06210544895717288
PyTorch,6,0.1320414429188146,0.005679152730411366,0.1441719562302683,0.060832720023588596
PyTorch,7,0.1274099454887188,0.005485208664449205,0.1389510377986223,0.05866275485198817
PyTorch,8,0.12525533628287344,0.0054034547665594524,0.13297011069605283,0.05792377731904991
PyTorch,9,0.12515891496544687,0.005452023163391422,0.1317708044199743,0.05746160280481677
PyTorch,10,0.12371056068491341,0.005377725498950997,0.13594549773638123,0.056338755651797835
PyTorch,11,0.12444793785751052,0.005449293408328174,0.13601028272226406,0.05635397538333853
PyTorch,12,0.12327568882908034,0.005417709279445658,0.1340878716150641,0.05568980859052912
PyTorch,13,0.12193028797102494,0.005311295839470472,0.1341629470713042,0.05540103501295004
PyTorch,14,0.12164283469551448,0.005271295911336544,0.12599574851678724,0.056330300676070644
PyTorch,15,0.12324420008750347,0.005247809760260898,0.12309061509565772,0.05845704041653519
PyTorch,16,0.07248194765218322,0.0020971715900353575,0.04011634230103077,0.04749859751686686
PyTorch,17,0.05415195649100984,0.0014406935603073522,0.023652582046375655,0.037379762735159784
PyTorch,18,0.052926121807636874,0.0014675309708576962,0.021397855488954814,0.036111026352439714
PyTorch,19,0.05008572184501036,0.0014228038700164014,0.019991704581212542,0.03385851265299729
PyTorch,20,0.049322187314477295,0.0014119074269012197,0.01966131356402628,0.0332369815813511
PyTorch,21,0.04827856815005203,0.0013922985822304712,0.018387977716388223,0.032516784458261595
PyTorch,22,0.04816518308496178,0.0013912104648999243,0.018507418424366883,0.03240233670769265
PyTorch,23,0.047632823318150184,0.0013817377971279265,0.01874372780299818,0.03194107256562818
PyTorch,24,0.04756813212022232,0.0013636399584175363,0.019439359006944847,0.03198779672036104
PyTorch,25,0.044490814348247566,0.001310787970603464,0.016769244836068876,0.02970601005822049
PyTorch,26,0.04524079667305649,0.001324985301716114,0.016599168369946914,0.030331026841059466
PyTorch,27,0.04522526884492127,0.0013174598514700071,0.017312514931514766,0.030319418914825
PyTorch,28,0.04420626651774222,0.0012963137453758503,0.017006352450263416,0.029542493535281156
PyTorch,29,0.043478467257989345,0.001272802816241881,0.017207529732371416,0.029029686169298453
PyTorch,30,0.0434262358621227,0.0012775179966297756,0.01677767853934399,0.02897328813777906
PyTorch,31,0.04309126702819101,0.0012654172798047115,0.016795882395239447,0.02875750600664972
PyTorch,32,0.043383289250397236,0.001275258878248851,0.017108084127666703,0.02891989197651638
PyTorch,33,0.043092087978885925,0.0012537733551239553,0.016899883671666602,0.028864365955959786
PyTorch,34,0.04319073562147647,0.001261648893714636,0.016886509000396246,0.028885595790600852
PyTorch,35,0.043561298199972814,0.0012698125040138321,0.016779564518330625,0.02918521663017362
PyTorch,36,0.04176516302301319,0.0012223088273900413,0.016412333666558764,0.02790084138013585
PyTorch,37,0.04269061751106632,0.0012523126467479237,0.016550417407778472,0.02851244921265083
PyTorch,38,0.0416442066013256,0.0012355917220430396,0.016105885945283734,0.027677700709772074
PyTorch,39,0.040773444159124685,0.0012079142491011141,0.01652439600698116,0.027041861970221327
PyTorch,40,0.04183575555949103,0.0012283264893263787,0.017529540976677728,0.027799536593003066
PyTorch,41,0.0408063247347268,0.0012099619840947777,0.016291648743534896,0.02707753999222569
PyTorch,42,0.040936824392724634,0.0012120215890992932,0.01629365996654926,0.02718724260785591
PyTorch,43,0.041289478755117945,0.0012301212555483692,0.01626734549434989,0.02736153187537769
PyTorch,44,0.04097925201406546,0.0012102566446929102,0.01600713838570725,0.02727597170564523
PyTorch,45,0.04075494352321944,0.0012110946801522995,0.016296805363479203,0.027014316166997697
PyTorch,46,0.0396814534957071,0.001178597457122313,0.01586660813334227,0.026308818058780978
PyTorch,47,0.04019774214257239,0.0011879700739038208,0.016117311616622585,0.026706310363364554
PyTorch,48,0.040631174930948706,0.001202558282062098,0.01606477039570215,0.02699911507641508
PyTorch,49,0.04051388828286965,0.0011947593151960185,0.015946955867604907,0.026971599565836314
PyTorch,50,0.03817211112698012,0.0011559367381874762,0.014656867161741324,0.02514705698896559
PyTorch,51,0.0391990787631069,0.0011792866064516995,0.01523880943085859,0.025882331851718954
PyTorch,52,0.0387044414570352,0.0011747805934799749,0.014864356216765661,0.025470199852578364
PyTorch,53,0.03825786198863638,0.001157098495643702,0.014805340100764485,0.025206343001015832
PyTorch,54,0.03863065684289668,0.0011652072158466584,0.014869883612982023,0.02549159630982211
PyTorch,55,0.03787521325121416,0.001148326412921139,0.014691504765145271,0.024922798579193165
PyTorch,56,0.03820751444364077,0.0011572022013862347,0.014748581104137213,0.02516063432734332
PyTorch,57,0.03763912475125348,0.0011466962112711505,0.014745637807832607,0.02469759887937352
PyTorch,58,0.03758638965203848,0.0011499788410123148,0.014690453053895975,0.024617555886332954
PyTorch,59,0.038493876354159594,0.0011534292723786236,0.015503402945884384,0.025409243333608934
Jittor,0,0.17259155421567113,0.00584823565740382,0.16349681161599366,0.09775951594648145
Jittor,1,0.14091645863568672,0.00546827465455364,0.14046440192286472,0.07218727149138941
Jittor,2,0.13491911256564,0.005527762597139542,0.14326590813719595,0.06531489525001925
Jittor,3,0.13334323172210905,0.005491856760142307,0.14322599707130704,0.0641020640521963
Jittor,4,0.1316365075190305,0.005612653694289658,0.1416397695531169,0.06134599332358236
Jittor,5,0.13271604212598637,0.005670204785481281,0.14186757351808552,0.06182723637449779
Jittor,6,0.1323491583499953,0.005668518739111281,0.14400324823096905,0.0612636464256271
Jittor,7,0.12803514885521752,0.00546488570516517,0.13955585350430458,0.059430706288630716
Jittor,8,0.12560654816876318,0.005391391777909271,0.1336582233995849,0.05832680799879389
Jittor,9,0.12535846285591615,0.005427906517450033,0.13246223469180668,0.05783317394183247
Jittor,10,0.1238164811444431,0.005323931747812464,0.13471467175007423,0.057105695997071784
Jittor,11,0.1245779695679837,0.005381570447880392,0.1347417799738523,0.05728808625650554
Jittor,12,0.12368862855471555,0.005356022423514777,0.13362969494659768,0.05676543455559331
Jittor,13,0.12216340332086027,0.0052456944692021125,0.13343050756210292,0.05636340753404522
Jittor,14,0.1218588282977959,0.0052244030834956105,0.12764788513591172,0.0568500088521996
Jittor,15,0.12379374534959363,0.005385045873543764,0.13155719643673422,0.05678756721317768
Jittor,16,0.12133522278330408,0.005160399169169332,0.12150054291540588,0.05758117647069823
Jittor,17,0.07981195075095071,0.0025147331020478566,0.05387347539730161,0.04927727202319096
Jittor,18,0.05593477963612087,0.0014866002990553777,0.023247757758306935,0.03874400086886601
Jittor,19,0.05245032125497904,0.001445678378980479,0.022283200634428738,0.03576521737344354
Jittor,20,0.05137818930467527,0.001437243025218981,0.021612207374805324,0.03484453835649375
Jittor,21,0.05015801195043641,0.0014174210654377265,0.019602084694853823,0.03402359268085515
Jittor,22,0.050130074095224665,0.001425617608398408,0.019499614170383997,0.03392393663061371
Jittor,23,0.04920769138174636,0.0014164343730523324,0.01893188759925372,0.033150158752904876
Jittor,24,0.049353196793395414,0.001408971400932928,0.018995777496377535,0.033363905056405845
Jittor,25,0.045966830696458016,0.0013535391813872318,0.01657325705742562,0.030774113237625713
Jittor,26,0.046609557074178416,0.0013713123300584248,0.01672626805790581,0.03122380704871405
Jittor,27,0.046802775510746374,0.0013559317476307608,0.01781290542258884,0.03146216753185538
Jittor,28,0.045453332625677655,0.001336226389580914,0.016827230024763683,0.03040834573152652
