image_names,VIF,SCD,MI,Qabf,SSIM,MS_SSIM,FMI
01.png,0.625680719932864,1.84254754594463,2.61621482543094,0.510987630104261,0.944733042860463,0.920045903498522,0.908027138768865
02.png,0.812243206344025,1.73437824177818,3.42892858237767,0.620313517379556,0.951660189599011,0.899961898670581,0.937554190424217
03.png,0.708606759305921,1.87248657465563,2.99893995116182,0.590591152035414,0.964997405683716,0.937909487500497,0.957275255521171
04.png,0.852859387151091,1.8101131120561,2.51061068800927,0.67732507848135,0.976672087002814,0.960385152359055,0.963476460006613
05.png,0.659874218940906,1.90428694077582,3.15826968684746,0.631555311863528,0.946261465293912,0.863674480699559,0.872637249785028
06.png,0.563744099525158,1.77189444115719,1.99384467993933,0.49136705955573,0.93825578187201,0.894456915940015,0.868141681572134
07.png,0.970698997125489,1.45089308164762,4.40785560426692,0.567958602609275,0.947659235937717,0.949357628554766,0.919216393206639
08.png,0.756109552485324,1.62578986009813,3.25565848527522,0.488706079646002,0.961666978717199,0.95173715343476,0.877939345897893
09.png,0.660316861805095,1.47799500244484,2.67417856181932,0.500452620406437,0.955275417468238,0.949616704920972,0.880958850521496
10.png,0.711419804468196,1.83391357677757,3.26817771271529,0.51527620063977,0.903807757503592,0.916816548887227,0.883315580512109
11.png,0.657486234055775,1.69333829013095,3.28414492977995,0.478560879448389,0.864861736073965,0.760926048989109,0.901360989915681
12.png,0.857677714291211,1.76153918499902,3.31798096465434,0.581400737269361,0.975160960703602,0.959791995511959,0.938654625811997
13.png,0.6409852050437,1.76697966659625,1.2949848528399,0.479848404708781,0.96480564289279,0.946936672962504,0.898101297173432
14.png,1.06093177257613,1.4566378439669,4.37921939732865,0.597746507290736,0.95002227585634,0.957356917844404,0.884454900321881
15.png,0.824123926309889,1.81055134052994,3.5533043606849,0.547697471646302,0.95515921733455,0.921221956743289,0.938800861170268
16.png,0.805934002454825,1.73327108743182,3.36512418774772,0.571869727470348,0.937168527880864,0.890542104909789,0.914910402751439
17.png,0.813895315062873,1.83380843598707,3.64433710223702,0.553274034593419,0.955648158958124,0.926151301962681,0.941699188160207
18.png,0.777857304868166,1.76530014993964,3.0756278030895,0.565120492673525,0.946468603182534,0.900529038529047,0.900259604390664
19.png,0.980002789528751,1.92738179656698,4.29381571249092,0.647775652663669,0.959218929901299,0.912558068547842,0.938981873726549
20.png,0.904855163493642,1.87285482372734,4.38340301462309,0.619566596896512,0.954610639563929,0.914328502216765,0.926827593085415
21.png,0.621111916373336,1.76516746729088,2.04062180429914,0.575144783974275,0.95077294040935,0.925238574642589,0.924171881703591
22.png,1.03272538665934,1.81873086637133,3.98910294567848,0.641772741707168,0.967515135082022,0.930789212379823,0.92161855006539
23.png,0.846271647106748,1.83139546617349,3.42135924276423,0.557695096139805,0.927625134409882,0.875765624263688,0.926726863313181
24.png,0.910963656904902,1.83479955954839,3.77700152723717,0.566302191647561,0.959701193923121,0.936732097130091,0.911368009226178
25.png,0.991941245039711,1.90847286522015,3.97232005959158,0.643762604780095,0.96338851298988,0.941408632289159,0.916482219197976
26.png,0.991769931553267,1.93557608253128,4.64550503826536,0.650858079115059,0.965938525816036,0.935247639283089,0.930321869095787
27.png,0.940494067089035,1.77892346356637,3.48344436890194,0.588906869842454,0.953480548304637,0.915482865208877,0.89913781384731
28.png,0.9534276506039,1.93215281443652,4.75982961759809,0.622711004084696,0.967685992514031,0.921233981369862,0.942788263149503
29.png,0.748705848927173,1.90516419869708,3.2702247303596,0.523301742272298,0.94833073227603,0.892985222361811,0.907032369591831
30.png,0.472307650451572,1.60862625042504,1.90517109569462,0.417446356887526,0.918512541315587,0.829545207506371,0.923994038857342
31.png,0.769986533770754,1.89068877017321,3.7716029668233,0.568346259125394,0.963212851489131,0.923712365902206,0.897544835673606
32.png,0.909709367237243,1.51073123570265,4.5503537080576,0.599813749959637,0.933830469408229,0.945918967298948,0.921829658277506
33.png,1.08024785675901,1.86365809167314,4.11136502015025,0.653892564418944,0.96001000137409,0.911142846955867,0.919162519547157
34.png,0.962719485394111,1.4950156256843,3.02932542520564,0.600451316101157,0.903151128640513,0.87941645660936,0.87148671331175
35.png,0.57551142502599,1.74407298260244,2.58656800864583,0.477470540714469,0.922787428581487,0.884079334280153,0.892052035875123
36.png,0.720074379997154,1.65275640536336,2.05970303552564,0.513228543892245,0.958976752521721,0.930335834414198,0.873405639375395
37.png,0.86571524108303,1.86704841191315,3.62032204604592,0.590197530622015,0.980243801618423,0.961567028030778,0.937007263716558
38.png,0.667943282966814,1.83597241027052,2.57195098523775,0.541197336944114,0.950815491858253,0.90096897708096,0.947283974372485
39.png,0.590651163917668,1.76676139163058,2.4167580551153,0.530913921883575,0.931799081451583,0.905304527481891,0.902945782801942
40.png,0.87470712872798,1.66615199007633,3.77953852818067,0.618305550410002,0.928317200895178,0.885345349091922,0.926822534853388
41.png,0.789579698980201,1.89625530121512,4.19492464429966,0.651925493468069,0.948370707585447,0.888197276821188,0.859792369255237
42.png,0.912450442990826,1.44768103649632,3.27497980660536,0.583726524848062,0.968267236852328,0.95222961215509,0.918475078284904
43.png,0.889427925332556,1.37065475782844,3.85408899466716,0.601837265150159,0.969254157777685,0.954931290695592,0.904675024780013
44.png,0.559825123762573,1.72653196379069,2.38422006342244,0.476093271194886,0.927724656598208,0.899798325165664,0.890704435577218
45.png,0.799575179362943,1.15898640335641,3.67209487747923,0.499506244182926,0.929525881035359,0.924401981086703,0.905351311016667
