name,width,height,seconds,fps
01.png,,,0.003348182886838913,298.66946752843603
02.png,,,0.0041120899841189384,243.18533978148372
03.png,,,0.0026321932673454285,379.9113128985782
04.png,,,0.0027626873925328255,361.9663964525506
05.png,,,0.0028518782928586006,350.6460996263774
06.png,,,0.005241118371486664,190.79897249417513
07.png,,,0.007868906483054161,127.08246084173435
08.png,,,0.008526939898729324,117.27536629512528
09.png,,,0.00421137735247612,237.45200591251705
10.png,,,0.006289174780249596,159.00337245203949
11.png,,,0.0091341407969594,109.47937219589203
12.png,,,0.003699357621371746,270.3172016197757
13.png,,,0.0054876115173101425,182.22864297984583
14.png,,,0.0028858063742518425,346.52359524961344
15.png,,,0.0027649961411952972,361.66415753755945
16.png,,,0.0027424413710832596,364.638606514677
17.png,,,0.0028063850477337837,356.3302907445012
18.png,,,0.0025615552440285683,390.387832677501
19.png,,,0.0025083841755986214,398.6630157086491
20.png,,,0.0026133209466934204,382.65487492658673
21.png,,,0.002673668786883354,374.0179056231125
22.png,,,0.00255501177161932,391.38762925002817
23.png,,,0.0026282481849193573,380.4815716178961
24.png,,,0.00258531142026186,386.8005966951217
25.png,,,0.0026167742908000946,382.14988717817306
26.png,,,0.0026480741798877716,377.6329256918253
27.png,,,0.00544534157961607,183.6432086727801
28.png,,,0.0026201168075203896,381.66237365057555
29.png,,,0.0026239901781082153,381.0989874668499
30.png,,,0.002800007350742817,357.1419195505715
31.png,,,0.0026887627318501472,371.91827607335824
32.png,,,0.002650299109518528,377.31590234796823
33.png,,,0.003223632462322712,310.2090612648421
34.png,,,0.0030960524454712868,322.99194461732645
35.png,,,0.0027792640030384064,359.80748820794236
36.png,,,0.0028342073783278465,352.8323324703183
37.png,,,0.0028991680592298508,344.9265373962643
38.png,,,0.002905656583607197,344.15629350064506
39.png,,,0.0027756541967391968,360.27542666330237
40.png,,,0.0028408532962203026,352.00691332089536
41.png,,,0.0029012244194746017,344.6820567507478
42.png,,,0.002885241061449051,346.59149052099355
43.png,,,0.0029398957267403603,340.14811848744046
44.png,,,0.0026477547362446785,377.6784859681921
45.png,,,0.0027377530932426453,365.2630335687363
