image_names,VIF,SCD,MI,Qabf,SSIM,MS_SSIM,FMI
01.png,0.729135129589786,1.83395358552415,2.76999648058326,0.562875822688848,0.936171870997583,0.905747700590963,0.916788184185969
02.png,0.906356389696582,1.69430154853291,4.13858971735696,0.651662369991758,0.941606675697593,0.871123663409611,0.940714188972495
03.png,0.805304289250498,1.88874311980461,3.51286889997393,0.653796545921275,0.971911404385159,0.940113834814045,0.959989006578993
04.png,0.944508167562545,1.84151229818017,2.84556281243458,0.725485228871102,0.984906796118916,0.969253274220856,0.966454393428861
05.png,0.687769827258514,1.91436986079961,3.25999351562528,0.641372668701595,0.943208139214557,0.884296461248527,0.880598737875982
06.png,0.564929577976472,1.7522056963405,2.11608129768336,0.491449282674226,0.896733208922304,0.848704517757642,0.866471893297001
07.png,1.03506376417179,1.43074960508018,4.44780544632775,0.586781634317547,0.919440343335683,0.936889879489388,0.915560961423376
08.png,0.830322285401433,1.69882971717407,3.65459626937111,0.528609119189219,0.942407400939069,0.932118438414536,0.890158070747658
09.png,0.733847448007851,1.49308889983333,3.71825548556679,0.482202182439274,0.882427757723168,0.923306045555748,0.885503001626401
10.png,0.760110447752146,1.80166204200077,4.09141894761204,0.525955241680817,0.823377242556295,0.884752890838873,0.881814914067274
11.png,0.714015667875079,1.61931063555721,3.91388485592774,0.504242134371712,0.821803096516002,0.715477555593725,0.899585688370351
12.png,0.894402776386662,1.71317066984969,3.97266625428854,0.583920915315337,0.947314491777349,0.914821675389073,0.939682902662391
13.png,0.59147143152528,1.74897308887601,1.13741738109849,0.446424805951834,0.933481263983193,0.926842514391467,0.891466754900262
14.png,1.05122281248829,1.39767115110469,3.87047289843972,0.613646230166606,0.962103521551559,0.965179933145845,0.891011375356401
15.png,0.837144051323607,1.76537377684321,3.41545464386941,0.584254220375676,0.936821134622847,0.890715805291063,0.940466780522083
16.png,0.845572890496333,1.70437391387306,3.65647978592524,0.593667368842685,0.908229396779585,0.86681308057721,0.917981296600414
17.png,0.832622529321005,1.78832500106092,3.55450887224043,0.595572458500022,0.945233687038352,0.907878463813942,0.942480590996641
18.png,0.844286587688438,1.76126641135574,3.36284715912291,0.591838147000102,0.917741189867568,0.890907469437859,0.903553692949692
19.png,0.988157829880909,1.92315556604062,4.27847447242002,0.662996819556451,0.951675059696589,0.907112925785095,0.939518872585492
20.png,0.937936592495161,1.85724758131753,4.88599990546653,0.6502858698236,0.945601692857117,0.90545067355083,0.926254865278757
21.png,0.771199639147003,1.78742203768709,2.62236810736126,0.647518139309895,0.965314368781862,0.9523332612018,0.936257237817201
22.png,1.00338180850166,1.83739596082984,3.87479173476346,0.634653401536974,0.960902079803384,0.929215298491381,0.923135234148473
23.png,0.81673458668353,1.84445957571376,3.40341413395637,0.573970160063423,0.938547728588012,0.894600753225269,0.930057770429948
24.png,0.930811745961198,1.82485051670888,4.30353349280501,0.600938106023681,0.949780556659107,0.934353648446724,0.914725971152789
25.png,1.00366149021069,1.89998295449484,4.14470031609701,0.666593949066124,0.958535404609677,0.946268709649678,0.917409434719
26.png,0.974742358957339,1.93502167691174,4.51727198517173,0.652839270806038,0.963493676547394,0.92957010612804,0.930185292665218
27.png,0.948724009081134,1.79680206724873,3.64757755036546,0.615416580023364,0.94988420037968,0.918707844918751,0.90327721047802
28.png,0.944675897196433,1.92377999033105,4.77415857592243,0.64696903195452,0.968666119095107,0.913961135834551,0.943942798061823
29.png,0.815134509763129,1.89726990766915,3.33224428499937,0.565438201639766,0.929661162864215,0.877096950949838,0.912456366462038
30.png,0.496192151802523,1.67895792093363,1.94318744344852,0.42564309506853,0.913555353181038,0.845692445937278,0.930440794395245
31.png,0.832669160612293,1.88217404505686,3.44179375467005,0.617744042839194,0.947308315203672,0.912380126891713,0.899813198493376
32.png,0.949491353101984,1.49487208638955,4.34938312076797,0.629675096659558,0.92903262052096,0.949894597654502,0.926792180898933
33.png,1.05193811466894,1.87625706430029,3.83775784551861,0.653678200101274,0.964285045119441,0.920642419422937,0.920756109644245
34.png,0.923204396247886,1.48174179691405,2.5811448359384,0.598830945585954,0.902338765897636,0.892462149417679,0.870719675057982
35.png,0.632556303964726,1.71962387366627,2.77506492215815,0.514781169175143,0.890520902495972,0.847723787714935,0.893263505183875
36.png,0.755725296666366,1.68581880462757,1.91668790278331,0.5358699801583,0.930133643290965,0.914934732101555,0.87635376374765
37.png,0.729581968253653,1.82680925111051,2.65853279449965,0.52551214209839,0.969438470445561,0.950911555799304,0.940898632687119
38.png,0.777318723490754,1.84801552103591,2.99932908001064,0.607418887873542,0.952607948791213,0.906186855825032,0.952409258334497
39.png,0.683977646155295,1.74454913050555,2.6778960614763,0.582837233306549,0.926884781827195,0.896062631909421,0.914130920674248
40.png,0.948430543433669,1.62977971765556,4.42566803009886,0.643925427932627,0.923623536225461,0.872680509427767,0.931913052301785
41.png,0.77621157188926,1.88793204879123,4.10897669004429,0.662254724855655,0.953278993408098,0.893439373418503,0.85965827499168
42.png,0.902607092664144,1.30653737582244,3.24345682387291,0.533108422266237,0.91455401471091,0.917115749769931,0.919760295209793
43.png,0.935170368769846,1.32364108868686,4.13934043389916,0.609857365292375,0.945097455402536,0.936182475996518,0.903832938940658
44.png,0.604464290340907,1.72122519605024,2.58620679571841,0.509910121469908,0.895603259335194,0.859042055320353,0.893133115299812
45.png,0.855406375326192,1.11956742282019,4.91218092431195,0.508467463361201,0.874047803446522,0.897754725088044,0.90590100187339
