framework,epoch_zero_based,epoch_one_based,logged_samples,learning_rate,loss_mean,loss_median,loss_min,loss_max,loss_first,loss_last
Jittor,55,56,7,2.5e-05,0.04392857142857143,0.0442,0.0321,0.0549,0.0447,0.0511
Jittor,56,57,7,2.5e-05,0.0394,0.0364,0.0242,0.057,0.0242,0.0509
Jittor,57,58,7,2.5e-05,0.038900000000000004,0.0373,0.0229,0.073,0.0471,0.0256
Jittor,58,59,7,2.5e-05,0.05709999999999999,0.0647,0.032,0.0732,0.032,0.0349
Jittor,59,60,7,2.5e-05,0.03462857142857143,0.0305,0.0239,0.0604,0.0266,0.0305
PyTorch,0,1,7,0.0001,0.20605714285714288,0.1846,0.1462,0.344,0.344,0.2511
PyTorch,1,2,7,0.0001,0.14404285714285714,0.1374,0.1214,0.1943,0.1504,0.1561
PyTorch,2,3,7,0.0001,0.1614142857142857,0.1505,0.1146,0.2257,0.1146,0.1197
PyTorch,3,4,7,0.0001,0.15230000000000002,0.1321,0.0661,0.2698,0.2698,0.1083
PyTorch,4,5,7,0.0001,0.15385714285714286,0.1453,0.1215,0.1895,0.1446,0.1436
PyTorch,5,6,7,0.0001,0.1413,0.1148,0.0765,0.244,0.0765,0.1108
PyTorch,6,7,7,0.0001,0.13787142857142856,0.1225,0.0619,0.2215,0.0862,0.0619
PyTorch,7,8,7,0.0001,0.12407142857142857,0.1024,0.0922,0.1979,0.0987,0.1402
PyTorch,8,9,7,0.0001,0.1272285714285714,0.1252,0.0896,0.1742,0.1078,0.1586
PyTorch,9,10,7,0.0001,0.12447142857142858,0.129,0.0864,0.1571,0.1445,0.0864
PyTorch,10,11,7,0.0001,0.12037142857142857,0.0963,0.0594,0.2425,0.0935,0.2425
PyTorch,11,12,7,0.0001,0.1173,0.1147,0.0943,0.1504,0.1089,0.1504
PyTorch,12,13,7,0.0001,0.10430000000000002,0.1125,0.0599,0.1392,0.1392,0.0817
PyTorch,13,14,7,0.0001,0.1202857142857143,0.1045,0.0645,0.1956,0.1405,0.1045
PyTorch,14,15,7,0.0001,0.14604285714285714,0.1294,0.0883,0.2225,0.2225,0.1431
PyTorch,15,16,7,0.0001,0.1430142857142857,0.1306,0.0831,0.2201,0.1142,0.1306
PyTorch,16,17,7,0.0001,0.11027142857142858,0.1091,0.066,0.1845,0.1375,0.1141
PyTorch,17,18,7,0.0001,0.11225714285714285,0.1149,0.0813,0.1387,0.0813,0.1177
PyTorch,18,19,7,0.0001,0.08857142857142856,0.081,0.046,0.1507,0.1507,0.046
PyTorch,19,20,7,0.0001,0.056928571428571426,0.0591,0.0396,0.0712,0.0712,0.0591
PyTorch,20,21,7,0.0001,0.049814285714285714,0.0505,0.0311,0.0674,0.0587,0.0354
PyTorch,21,22,7,0.0001,0.06321428571428571,0.0459,0.0211,0.1419,0.1419,0.0426
PyTorch,22,23,7,0.0001,0.05791428571428572,0.0587,0.0437,0.0705,0.0515,0.0679
PyTorch,23,24,7,0.0001,0.05317142857142858,0.0505,0.0356,0.073,0.0387,0.0603
PyTorch,24,25,7,0.0001,0.04215714285714285,0.0399,0.0228,0.0611,0.0588,0.0342
PyTorch,25,26,7,5e-05,0.05347142857142857,0.0482,0.0301,0.0955,0.0482,0.0492
PyTorch,26,27,7,5e-05,0.0487,0.0544,0.0238,0.0621,0.0575,0.0621
PyTorch,27,28,7,5e-05,0.0546,0.0477,0.0331,0.0925,0.0925,0.0331
PyTorch,28,29,7,5e-05,0.04445714285714286,0.0387,0.0284,0.0695,0.0695,0.0387
PyTorch,29,30,7,5e-05,0.04318571428571428,0.04,0.0215,0.0686,0.0355,0.0215
PyTorch,30,31,7,5e-05,0.04418571428571428,0.0474,0.028,0.0575,0.0371,0.0474
PyTorch,31,32,7,5e-05,0.03977142857142857,0.0397,0.0243,0.0606,0.0243,0.0606
PyTorch,32,33,7,5e-05,0.056885714285714296,0.0495,0.0343,0.085,0.0343,0.0378
PyTorch,33,34,7,5e-05,0.04031428571428571,0.0378,0.0164,0.0645,0.0407,0.0164
PyTorch,34,35,7,5e-05,0.03528571428571429,0.0267,0.0209,0.0659,0.0596,0.0274
PyTorch,35,36,7,5e-05,0.037071428571428575,0.0284,0.0139,0.0576,0.0576,0.0139
PyTorch,36,37,7,5e-05,0.0399,0.0379,0.0211,0.0624,0.0211,0.0283
PyTorch,37,38,7,5e-05,0.04517142857142858,0.0453,0.03,0.0615,0.0469,0.0453
PyTorch,38,39,7,5e-05,0.03297142857142857,0.029,0.0157,0.0576,0.022,0.0157
PyTorch,39,40,7,5e-05,0.04318571428571428,0.0319,0.0163,0.0749,0.0638,0.0163
PyTorch,40,41,7,5e-05,0.03892857142857143,0.0336,0.022,0.0706,0.022,0.0335
PyTorch,41,42,7,5e-05,0.03822857142857143,0.036,0.0256,0.0535,0.0256,0.033
PyTorch,42,43,7,5e-05,0.042,0.0387,0.0285,0.0585,0.0585,0.032
PyTorch,43,44,7,5e-05,0.04181428571428571,0.0387,0.0147,0.0769,0.0497,0.0769
PyTorch,44,45,7,5e-05,0.04875714285714285,0.0438,0.0324,0.08,0.0378,0.042
PyTorch,45,46,7,5e-05,0.039200000000000006,0.0417,0.0205,0.0572,0.0468,0.0502
PyTorch,46,47,7,5e-05,0.03194285714285714,0.0334,0.0172,0.0416,0.0368,0.0398
PyTorch,47,48,7,5e-05,0.042557142857142856,0.0417,0.0266,0.0665,0.0665,0.0298
PyTorch,48,49,7,5e-05,0.03472857142857143,0.0341,0.0248,0.0503,0.0344,0.0261
PyTorch,49,50,7,5e-05,0.03665714285714285,0.038,0.0233,0.045,0.0233,0.038
PyTorch,50,51,7,2.5e-05,0.03887142857142858,0.0299,0.0245,0.0655,0.0299,0.0245
PyTorch,51,52,7,2.5e-05,0.0377,0.0354,0.0245,0.0503,0.0498,0.0503
PyTorch,52,53,7,2.5e-05,0.03804285714285714,0.0328,0.0262,0.0555,0.0544,0.0286
PyTorch,53,54,7,2.5e-05,0.03748571428571429,0.0317,0.0267,0.0508,0.0508,0.029
PyTorch,54,55,7,2.5e-05,0.04021428571428571,0.0364,0.0243,0.0601,0.0559,0.0243
PyTorch,55,56,7,2.5e-05,0.03762857142857142,0.0307,0.0226,0.0794,0.0226,0.0466
PyTorch,56,57,7,2.5e-05,0.026828571428571427,0.0302,0.0168,0.0439,0.0303,0.0169
PyTorch,57,58,7,2.5e-05,0.033185714285714284,0.0303,0.0145,0.0558,0.0558,0.0145
PyTorch,58,59,7,2.5e-05,0.03537142857142857,0.0335,0.0198,0.0584,0.0584,0.0409
PyTorch,59,60,7,2.5e-05,0.04364285714285714,0.0282,0.0218,0.0699,0.0218,0.0282
