framework,dataset,image_count,synchronized_mean_ms,synchronized_fps,official_unsynchronized_mean_ms,official_unsynchronized_fps
jittor,MSRS,361,109.62201243426414,9.122255446639054,2.732892427851454,365.91268277111817
jittor,M3FD_2x,300,79.01236475755772,12.656246943986671,2.696964774901668,370.78719355407975
jittor,TNO,45,144.26341149955988,6.931764538252659,3.490011373327838,286.53201752934916
pytorch,MSRS,361,83.40569318548216,11.98958922115958,7.591097073892643,131.7332646738516
pytorch,M3FD_2x,300,50.24073997202019,19.904165435399932,7.4928668824334945,133.46026503479337
pytorch,TNO,45,81.20813419421515,12.314037379659869,9.445760688847965,105.86759848580952
