framework,epoch,loss_total,loss_joint_grad,loss_intensity,loss_sobel
Jittor,0,0.18372376096025805,0.006214595460724608,0.19412580527063472,0.10216522571918006
Jittor,1,0.14050768724297438,0.005522691564941982,0.1472969479232191,0.070551075801439
Jittor,2,0.13580212373042774,0.005523268299139572,0.1464066749258762,0.06592877294485257
Jittor,3,0.13406303023623528,0.005628504282997985,0.14407989945599223,0.06336999674707744
Jittor,4,0.13205352476638427,0.005627655129694029,0.14155923173620694,0.06162105018499298
Jittor,5,0.12995628138708176,0.005617700780834713,0.14015252541205223,0.05976402067878164
Jittor,6,0.13182064727227263,0.005776505893737518,0.1448522267915378,0.05957036483684711
Jittor,7,0.13028220929832102,0.005685096620756123,0.14063295117373406,0.05936794740226224
Jittor,8,0.12877811342942008,0.005635672082074242,0.14011353526461717,0.05841003860872111
Jittor,9,0.12649069597648682,0.005422087988817653,0.13710008229120313,0.05855980782981417
Jittor,10,0.12663506754787168,0.005447228059805118,0.13631519505817943,0.05853126680832414
Jittor,11,0.1257684391769479,0.005456739615190577,0.1346945203608627,0.057731590683447236
Jittor,12,0.12346466908063101,0.0052861982841926666,0.13151160232444234,0.0574515259409805
Jittor,13,0.12579296218271938,0.005274982834989176,0.12939078431007833,0.06010405550423627
Jittor,14,0.07713423459282917,0.002322971818292647,0.04921597052899384,0.048982919069047656
Jittor,15,0.05695253294367471,0.0014899037020408615,0.025095245203241197,0.03954397137871598
Jittor,16,0.05442216056413554,0.0014839413074625662,0.022922562468634496,0.03729049125947406
Jittor,17,0.051441504251548434,0.0014374145787902687,0.021554004936261435,0.03491195794078884
Jittor,18,0.05246983310120685,0.0014605292502059557,0.021336537996173556,0.035730886792421715
Jittor,19,0.05119746694242657,0.0014452306211728753,0.020705050656809894,0.03467465559676336
Jittor,20,0.04974497605776675,0.0014097069365094268,0.020675551994178573,0.033580351371399336
Jittor,21,0.049788534629660604,0.001411665532001036,0.019913969834181377,0.03368048227429854
Jittor,22,0.049184644031933164,0.0014024570042476337,0.01949333622863058,0.03321074042759395
Jittor,23,0.049203322242910616,0.00139506895372911,0.019096452549877473,0.03334298727865624
Jittor,24,0.048387968373075824,0.0013763270871438133,0.019375218547056677,0.03268717582746644
Jittor,25,0.04576452492773997,0.0013391837842887226,0.01613202678747591,0.03075948433306451
Jittor,26,0.04547461097323077,0.0013312663158729695,0.016554817993257694,0.03050646609467138
Jittor,27,0.04437866130396956,0.0013079661843323402,0.016589991417582904,0.029640000333829648
Jittor,28,0.04407944200078832,0.0012935415231999927,0.016935740981970527,0.029450452809636932
Jittor,29,0.044717546543715715,0.0013036903302545,0.016680036099175007,0.03001263957308182
Jittor,30,0.04411588841323912,0.0012826215239340364,0.017171228195705983,0.029572550178363317
Jittor,31,0.04345613234093256,0.0012746260616046338,0.01670557698467021,0.029039314031206374
Jittor,32,0.0431558528735166,0.0012708426108823166,0.016714534575752102,0.02877597335139957
Jittor,33,0.0431400220957222,0.001265989766293713,0.01725656519907982,0.028754467887345505
Jittor,34,0.04298569926719335,0.0012644161667886575,0.016821196197598847,0.02865941795836728
Jittor,35,0.04352327405454771,0.001262683062335459,0.016683447119602905,0.029228098760141392
Jittor,36,0.04233319378774207,0.0012432525285833002,0.015925093699026144,0.028308159208963873
Jittor,37,0.043307061983138974,0.0012583962256869307,0.016809093363356786,0.029042190355698452
Jittor,38,0.04202904601253546,0.0012323758581209336,0.01614029729460305,0.02809125765856367
Jittor,39,0.041366477900205,0.0012246793211434862,0.015789071210396022,0.027540777574911295
Jittor,40,0.04149650251986082,0.001211697016926076,0.016346767734057296,0.027744855585209213
Jittor,41,0.041791051089461906,0.0012200613425626793,0.016574768773120512,0.027932960728641796
Jittor,42,0.04183890461933297,0.0012131384587476778,0.017291133706907616,0.027978406667802193
Jittor,43,0.041028438231725,0.0012065642633014054,0.016106303526680465,0.027352165329238152
Jittor,44,0.041590546127234666,0.0012233837580560732,0.016064938569783794,0.027750214664816763
Jittor,45,0.04110826798526112,0.0012028036240888673,0.01636728056129126,0.027443503540276182
Jittor,46,0.04162162666519483,0.0012309666647941362,0.016156824935964566,0.0276962775487534
Jittor,47,0.040234799813073,0.0011861176267005155,0.016006483278611552,0.026772975117966207
Jittor,48,0.04069564538801849,0.0012033203918837892,0.015991423408880923,0.027063299156145144
Jittor,49,0.040129186745117944,0.0011884969279439858,0.01575716224069652,0.026668501173572563
Jittor,50,0.03974282236137308,0.001181394568785178,0.01508423895321241,0.026420452791582387
Jittor,51,0.03901662248131642,0.001176219370442434,0.014320526546595554,0.02582237621438559
Jittor,52,0.03764354899479221,0.0011396458014523803,0.014478365812708864,0.024799254313807622
Jittor,53,0.038929104831104525,0.0011662871076731226,0.01479264643083898,0.02578696906943791
Jittor,54,0.03887578808467522,0.0011563512026636956,0.014562492588146176,0.025856026821128582
Jittor,55,0.03813821303359352,0.0011519825982141694,0.014278600556700494,0.02519052695755693
Jittor,56,0.03884174122048594,0.0011731193651520644,0.013828697240827286,0.025727677936564167
Jittor,57,0.038547675508274655,0.0011527243819569363,0.014893477078312515,0.02553108394743637
Jittor,58,0.038245305239086584,0.0011460546944856156,0.014900866822655838,0.025294671577874375
Jittor,59,0.0381166972219944,0.0011476474318898506,0.014006919015744393,0.025239531014613646
