image_names,VIF,SCD,MI,Qabf,SSIM,MS_SSIM,FMI
01.png,0.679363400547984,1.85536951518316,2.59134391837397,0.53936036025323,0.939289083057402,0.914906191224267,0.910610072652373
02.png,0.852371391180122,1.74644977797403,3.41801270547856,0.634985986745662,0.942929045809979,0.88807183693514,0.935505590292457
03.png,0.781165459685818,1.89979839562254,3.21770431617984,0.638123289029316,0.971307930011744,0.941820723635304,0.958428871353602
04.png,0.912348817597057,1.85599771259503,2.71689372645029,0.706390686480647,0.981781869213221,0.969383290900829,0.964605414383282
05.png,0.718498164067665,1.92043026402908,3.44144204683822,0.652645888367047,0.949231101451811,0.884720973151852,0.878281357827291
06.png,0.515887656769231,1.8178521690203,1.76406665436161,0.45663307722755,0.917921435397512,0.871424677839193,0.860225972582245
07.png,1.05395944735627,1.33655226421258,5.03543348640115,0.591091065004748,0.912412648844563,0.93183006573714,0.915843378628372
08.png,0.803068125733044,1.63167109576183,3.38022263327211,0.513726275822876,0.950618539095047,0.937597743220746,0.882292196864323
09.png,0.740080876449198,1.56188461871219,3.19982682386688,0.458341370326364,0.896436541648446,0.928134894945734,0.884512118235903
10.png,0.777707383483038,1.8199981080111,3.52170906810838,0.516683403761009,0.8277621610522,0.887115852794111,0.881789113313826
11.png,0.601114978165972,1.72459914725919,2.76902187485107,0.470513023303576,0.895705217379054,0.800755603830304,0.897087448381076
12.png,0.886678426099948,1.75259360952336,3.19725473235896,0.591015774250487,0.976374268794519,0.96626363419878,0.93910650998087
13.png,0.591080024447227,1.75041460993883,1.20590054499715,0.429719405856674,0.932883049058151,0.918026505110313,0.891155551082939
14.png,1.06257844344165,1.50602009564841,4.00392349021883,0.603203196794917,0.962137110381367,0.965698281073757,0.887260378249471
15.png,0.826958636044678,1.81066089593408,3.08521331000708,0.574295100564594,0.939267867171113,0.897853335682051,0.940458184807559
16.png,0.822293741598642,1.74402866325867,3.0007574176982,0.584999344200125,0.934044353516969,0.892664985441749,0.916606318108647
17.png,0.821085548873206,1.8374208482418,3.3453435225333,0.574682553822618,0.954261985260492,0.924472958803963,0.94220180402772
18.png,0.807799519385502,1.78067774861666,2.96344767489975,0.582201428261141,0.947936682950441,0.909256586924504,0.90317009029932
19.png,0.955227928003642,1.93515093197504,3.66312776522178,0.639741266651216,0.964650537880525,0.922527302074293,0.938975468757516
20.png,0.8577496795007,1.89954527072107,3.49838283330596,0.594691824780683,0.960747931410439,0.925543579320111,0.924797001304453
21.png,0.723848696274811,1.80467767587162,2.36495498081647,0.626051495538811,0.962965046211287,0.950685403040541,0.931482304352034
22.png,1.02135025628157,1.84475084620778,3.34320734084191,0.640482159457428,0.969401843166325,0.939265876395581,0.920410311596146
23.png,0.827918514817982,1.86064801005559,2.98195664480917,0.558770904652199,0.935318490251254,0.892150310142391,0.925548320850483
24.png,0.917065973428127,1.87698378880723,3.23631202884503,0.57311214007128,0.961971521217897,0.946490504464775,0.912001612361606
25.png,0.993912213116322,1.92325889024979,3.5163820307022,0.64817929429277,0.964949581569265,0.94503230248186,0.916430495070274
26.png,0.980670106337129,1.93329746241664,3.89265892823132,0.642696205927397,0.963447066414454,0.929669376912519,0.929245739922418
27.png,0.940359980702423,1.80882725187737,2.79401924676356,0.592622371114763,0.955401696643261,0.924421975609411,0.900049274068948
28.png,0.938378729729163,1.93728049408946,3.8493545837328,0.612311167238646,0.966071065335837,0.931015023850218,0.941050294601608
29.png,0.821212777155214,1.9002803566855,3.26464036270277,0.553788255925051,0.927346461129369,0.87414133792499,0.909454739340326
30.png,0.482632077161154,1.6190211192239,2.02327656806098,0.401679822116132,0.899064897437849,0.81966394701721,0.920019701897555
31.png,0.842584906069335,1.86822786525717,3.7320679817158,0.607029236326054,0.948683163702396,0.909156340319104,0.901035246224887
32.png,0.9395363578539,1.50754898180773,4.31907874786529,0.616986534176605,0.926870531851043,0.947264163590134,0.923026824055862
33.png,1.06873940175375,1.88080318653784,3.61362415082233,0.642095700493377,0.963611069612064,0.92010193705037,0.918186441961796
34.png,0.98902336119604,1.51822571679276,3.05186864688502,0.611775720403084,0.891787329082878,0.871699247518674,0.876086840926942
35.png,0.619232903705332,1.75423363982786,2.54562861763794,0.502098023679799,0.900430506077498,0.863136135486855,0.893686324145495
36.png,0.74294349587807,1.6491781306555,2.07431450296833,0.532795632939208,0.947930427626638,0.924629708901901,0.873519620316395
37.png,0.7315899412781,1.87086223146883,1.94998209516418,0.419950329929071,0.916933386830233,0.931285566694853,0.943284139203103
38.png,0.729753846721233,1.85382519757843,2.68046431591755,0.582812763177373,0.951752775240159,0.90596017391723,0.94967301684016
39.png,0.62726573835076,1.78696198556149,2.38475604309308,0.556389356765775,0.925630360897381,0.900499651284285,0.905920701272377
40.png,0.894537624752201,1.65235864396446,3.58485778883611,0.625378040875989,0.92354618477554,0.884542699055413,0.926780637496423
41.png,0.78395293914104,1.89081335847834,4.09910276940582,0.658500287699968,0.949870074730414,0.892738050631727,0.859047112767663
42.png,0.915848366244767,1.305058602968,3.26147737234769,0.529921504221823,0.921844795666229,0.92071080322915,0.920119307837427
43.png,0.919680748716069,1.26358675823596,4.04039949101049,0.596027143490195,0.940612408576807,0.93254151325467,0.904589759453456
44.png,0.58318171350225,1.74825407056362,2.36792850228508,0.491339018249262,0.9118949694833,0.881296996040246,0.891108610165531
45.png,0.838846794499797,1.1360686982038,3.92955918954711,0.498937446318889,0.917919825845404,0.921247934922316,0.905052909907252
