image_names,SSIM_uint8,SSIM_float255_default,SSIM_float255_dynamic_range,MEF_SSIM
01.png,0.730113104907733,0.498381042579,0.730113104907733,0.93615743960275
02.png,0.64789997825983,0.490836235885539,0.64789997825983,0.941609725947777
03.png,0.741026764018233,0.477634822575193,0.741026764018233,0.971940164546379
04.png,0.723016309790271,0.492609344051288,0.723016309790271,0.984907402759782
05.png,0.569393138835717,0.479923720320313,0.569393138835717,0.943191582165152
06.png,0.679699039540667,0.547211161617603,0.679699039540667,0.896739312586848
07.png,0.829923563996303,0.572649196975419,0.829923563996303,0.919440789616036
08.png,0.794064289751615,0.569200024022502,0.794064289751615,0.942411598636632
09.png,0.633603160187428,0.480749016603377,0.633603160187428,0.882427132708942
10.png,0.593936431979141,0.477681512431219,0.593936431979141,0.823444548517575
11.png,0.611894616386487,0.482321207639785,0.611894616386487,0.821824760848817
12.png,0.835970839390862,0.52542848102994,0.835970839390862,0.947288177133245
13.png,0.786350846867223,0.591933189195202,0.786350846867223,0.933477040575673
14.png,0.755906320649298,0.620379970623422,0.755906320649298,0.962091359441589
15.png,0.741417081674093,0.51857168910755,0.741417081674093,0.936814822466761
16.png,0.667309879256676,0.508337201250797,0.667309879256676,0.908223459958788
17.png,0.729424324433021,0.509942250624553,0.729424324433021,0.945226036540668
18.png,0.69463240107997,0.50894008401166,0.69463240107997,0.917750992706967
19.png,0.641509371466118,0.48403688661233,0.641509371466118,0.951679347646042
20.png,0.674449975236626,0.48430458766137,0.674449975236626,0.945604678019809
21.png,0.637876945937867,0.454649732538478,0.637876945937867,0.96531630456293
22.png,0.67384454490355,0.505076292509079,0.67384454490355,0.960898755282292
23.png,0.696209273071224,0.487005798734443,0.696209273071224,0.93855200912468
24.png,0.732061117099915,0.515982628111937,0.732061117099915,0.949792410179364
25.png,0.698630108933835,0.508489307151843,0.698630108933835,0.958530822992804
26.png,0.621498148571555,0.477400821124382,0.621498148571555,0.963493695175937
27.png,0.694830266303921,0.50764796603491,0.694830266303921,0.949881365400117
28.png,0.723784969846509,0.482168471600513,0.723784969846509,0.96866712293605
29.png,0.766260846666881,0.476524856578952,0.766260846666881,0.929646403317212
30.png,0.705326819635734,0.496477453502905,0.705326819635734,0.913565020167713
31.png,0.773558666539322,0.487074397126264,0.773558666539322,0.947301561005471
32.png,0.676602701814659,0.495847981589374,0.676602701814659,0.929044073828403
33.png,0.702659697259007,0.504879764157823,0.702659697259007,0.964286123524735
34.png,0.803345261690291,0.547598972316605,0.803345261690291,0.902324182646786
35.png,0.708235910029255,0.526063517512147,0.708235910029255,0.89046322493917
36.png,0.774619668481665,0.505400795993623,0.774619668481665,0.930121178088115
37.png,0.827507420547201,0.547099294249303,0.827507420547201,0.969440798162503
38.png,0.743846032503945,0.4795685206198,0.743846032503945,0.952609179607615
39.png,0.683578056690705,0.500999594343412,0.683578056690705,0.926855046009473
40.png,0.654997580884188,0.460262949703648,0.654997580884188,0.923622703384873
41.png,0.591842573798812,0.487027048749441,0.591842573798812,0.953270494749874
42.png,0.819694403909618,0.586715543819874,0.819694403909618,0.914464618687281
43.png,0.77144399026677,0.566456173374325,0.77144399026677,0.945061362383777
44.png,0.722598386037013,0.524646115833355,0.722598386037013,0.895608326994474
45.png,0.747498543918384,0.449031277929019,0.747498543918384,0.87393103157102
