name,seconds,fps
00000.png,0.2681293245404959,3.7295435764578926
00011.png,0.07913962099701166,12.63589574225735
00025.png,0.07901818957179785,12.655313990601819
00031.png,0.079129240475595,12.63755337457611
00033.png,0.07907552551478148,12.646137897788254
00042.png,0.0789500018581748,12.666244160404107
00061.png,0.08059058338403702,12.408397582068813
00071.png,0.07898450922220945,12.66071043356958
00082.png,0.07907182164490223,12.64673026619806
00097.png,0.07906624767929316,12.647621827915483
00107.png,0.07897194009274244,12.662725505105078
00112.png,0.07888205163180828,12.677155060160244
00118.png,0.07907885871827602,12.645604858342356
00147.png,0.07894984073936939,12.666270009349578
00149.png,0.07889844849705696,12.67452046331813
00150.png,0.07905016839504242,12.650194430992691
00159.png,0.07904395926743746,12.651188139710948
00177.png,0.07885292544960976,12.68183766547813
00196.png,0.07890258729457855,12.673855627402355
00202.png,0.07927195262163877,12.614802170610734
00210.png,0.07891648728400469,12.671623312390977
00215.png,0.078968221321702,12.663321818104324
00232.png,0.07887284550815821,12.6786347513805
00242.png,0.0789139661937952,12.672028136872777
00255.png,0.07912606000900269,12.63806134017318
00274.png,0.07902530394494534,12.65417467671711
00284.png,0.0790441446006298,12.65115847672836
00290.png,0.07902513165026903,12.65420226600275
00306.png,0.07889418490231037,12.675205418982857
00320.png,0.07888281531631947,12.677032329411773
00325.png,0.0788684356957674,12.679343658564113
00334.png,0.07892129663378,12.670851121976861
00339.png,0.07902261894196272,12.654604635850387
00349.png,0.07893281523138285,12.669002075608354
00353.png,0.07884920760989189,12.682435630140013
00370.png,0.0789745794609189,12.662302310768956
00385.png,0.07903607841581106,12.652449615971221
00386.png,0.07892774976789951,12.669815152980672
00388.png,0.07902488019317389,12.65424253166257
00389.png,0.07898637186735868,12.660411870535004
00390.png,0.07893959153443575,12.667914547844738
00400.png,0.07897151634097099,12.662793451785259
00405.png,0.07901052106171846,12.65654227515925
00409.png,0.07889827061444521,12.674549039062379
00419.png,0.07894106674939394,12.66767781558611
00421.png,0.07894381787627935,12.667236357471317
00434.png,0.0790390120819211,12.651979998985006
00441.png,0.07890880387276411,12.672857158149833
00443.png,0.07916972879320383,12.631090383195087
00449.png,0.07894418388605118,12.667177628226671
00453.png,0.07897120993584394,12.662842582915951
00461.png,0.07887255772948265,12.678681011332271
00479.png,0.07898709457367659,12.660296031869265
00489.png,0.07938045915216208,12.597558778075713
00497.png,0.0791298234835267,12.637460264374033
00512.png,0.08004594407975674,12.492825357942097
00525.png,0.07895792741328478,12.66497276157921
00527.png,0.07895010523498058,12.666227575298127
00537.png,0.07893108762800694,12.66927936826215
00555.png,0.07902388647198677,12.65440165809221
00572.png,0.0790100172162056,12.656622985710372
00587.png,0.08182270359247923,12.221546784625135
00606.png,0.08063230011612177,12.401977849569718
00621.png,0.07893009949475527,12.669437976148096
00633.png,0.07894493825733662,12.667056584936486
00643.png,0.07897498458623886,12.662237355779704
00652.png,0.07890445832163095,12.673555097784112
00653.png,0.07906240504235029,12.64823653497947
00661.png,0.07895191572606564,12.665937118861503
00671.png,0.07893407717347145,12.668799532581156
00676.png,0.07896200194954872,12.664319233432444
00677.png,0.0809861347079277,12.347792663601593
00687.png,0.07896202616393566,12.66431534980963
00697.png,0.07908228226006031,12.645057418949069
00712.png,0.0789117282256484,12.672387520654674
00716.png,0.0789438784122467,12.667226643945432
00719.png,0.07891379203647375,12.672056103168918
00725.png,0.07881804835051298,12.687449396778822
00726.png,0.0788854444399476,12.676609824531834
00738.png,0.07899890560656786,12.658403205991519
00760.png,0.07897303998470306,12.662549145805938
00762.png,0.0789122972637415,12.672296139824565
00769.png,0.07904977072030306,12.650258070175035
00787.png,0.07911989279091358,12.639046448693415
00800.png,0.07903790939599276,12.65215651124877
00801.png,0.07905994821339846,12.648629585498867
00805.png,0.07878914661705494,12.692103455065688
00818.png,0.07903628889471292,12.652415921655125
00825.png,0.07890615053474903,12.673283302036332
00826.png,0.07901658490300179,12.655570994716713
00829.png,0.07900048419833183,12.658150265123513
00834.png,0.07892409153282642,12.67040241551689
00857.png,0.07902935612946749,12.653525841230186
00867.png,0.07892714627087116,12.669912029608751
00871.png,0.07889262773096561,12.675455600365265
00878.png,0.07898691110312939,12.660325439164831
00896.png,0.07892653625458479,12.670009954249204
00910.png,0.07898967899382114,12.659881806561382
00916.png,0.07921018358319998,12.624639342612182
00922.png,0.07896050810813904,12.664558827692279
00926.png,0.0789538137614727,12.665632632023314
00950.png,0.0789657598361373,12.663716553543091
00958.png,0.07895536534488201,12.66538373461939
00965.png,0.07883735932409763,12.68434164428358
00976.png,0.07900385931134224,12.657609498026565
00994.png,0.07896665297448635,12.663573322818861
01017.png,0.07902695331722498,12.653910571319427
01034.png,0.07895334251224995,12.665708229450143
01043.png,0.07888162974268198,12.677222862434231
01079.png,0.0788950240239501,12.675070606435595
01093.png,0.07918949145823717,12.627938146658998
01101.png,0.079042237251997,12.65146375869738
01115.png,0.07886348385363817,12.68013979519201
01122.png,0.07903816737234592,12.652115215286262
01136.png,0.07902795355767012,12.653750413393366
01147.png,0.07895846851170063,12.66488596915748
01156.png,0.07918667420744896,12.628387415037208
01165.png,0.07900506351143122,12.657416569955801
01186.png,0.07905318681150675,12.649711420039084
01204.png,0.07901214435696602,12.656282247981238
01212.png,0.07890599220991135,12.673308730973545
01223.png,0.07901585288345814,12.655688238598367
01227.png,0.0791077334433794,12.640989148244785
01242.png,0.07888645399361849,12.676447594930492
01249.png,0.07898932322859764,12.659938826238172
01267.png,0.078990095295012,12.65981508523572
01270.png,0.07904652878642082,12.650776894984757
01299.png,0.07898506708443165,12.66062101246357
01301.png,0.1518178815022111,6.586839376924357
01320.png,0.031158403493463993,32.09407055177802
01331.png,0.027615327388048172,36.21177420597218
01345.png,0.07875827047973871,12.697079226203414
01388.png,0.07899719011038542,12.65867809478624
01393.png,0.0790910106152296,12.643661930998793
01406.png,0.07887375354766846,12.678488787726275
01413.png,0.07894819229841232,12.666534481500856
01415.png,0.07918683718889952,12.6283614234334
01422.png,0.07888342160731554,12.676934894863402
01432.png,0.07884574495255947,12.68299260285622
01437.png,0.0789819611236453,12.66111889060987
01442.png,0.07905125990509987,12.650019761867028
01443.png,0.07909840531647205,12.642479908400283
01454.png,0.07910829316824675,12.64089970786261
01462.png,0.0790806682780385,12.645315495869552
01471.png,0.07915631495416164,12.633230849352785
01482.png,0.07920504361391068,12.625458611885309
01486.png,0.07922872714698315,12.621684532995527
01492.png,0.07902091927826405,12.654876824181237
01494.png,0.1532428376376629,6.525590464230789
01505.png,0.04901847429573536,20.400471747995645
01511.png,0.04646070580929518,21.52356453870175
01527.png,0.04631532356142998,21.591126286177353
01531.png,0.07881920412182808,12.687263353412387
01547.png,0.0789580000564456,12.664961109515422
01562.png,0.07890279777348042,12.673821818978698
01579.png,0.07903338689357042,12.652880501586509
01584.png,0.07900147512555122,12.657991492067378
01587.png,0.07930453959852457,12.609618630439721
01599.png,0.07898340560495853,12.660887338811085
01608.png,0.07909469585865736,12.643072827373977
01640.png,0.07892170175909996,12.670786079250963
01659.png,0.07901660818606615,12.655567265621265
01670.png,0.07902452815324068,12.654298904016821
01673.png,0.0790050607174635,12.657417017577929
01707.png,0.07899338845163584,12.659287310003872
01710.png,0.07902153860777617,12.654777641871863
01724.png,0.0790724977850914,12.646622125405319
01729.png,0.0790573451668024,12.649046054988423
01741.png,0.07907460816204548,12.646284606946477
01760.png,0.07915759366005659,12.633026773078956
01773.png,0.07894728612154722,12.666679871178856
01779.png,0.07892373483628035,12.670459679517236
01783.png,0.07907835952937603,12.645684684803305
01789.png,0.07902290020138025,12.654559595403631
01803.png,0.14550373330712318,6.872675891341165
01806.png,0.027133559808135033,36.854729238298674
