timestamp,gpu_name,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_draw_w
2026/08/01 16:19:03.104, NVIDIA GeForce RTX 3090, 4291, 24576, 45, 243.39
2026/08/01 16:19:04.170, NVIDIA GeForce RTX 3090, 4291, 24576, 46, 254.13
2026/08/01 16:19:05.219, NVIDIA GeForce RTX 3090, 4291, 24576, 50, 255.80
2026/08/01 16:19:06.266, NVIDIA GeForce RTX 3090, 4291, 24576, 58, 253.84
2026/08/01 16:19:07.296, NVIDIA GeForce RTX 3090, 4291, 24576, 56, 256.98
2026/08/01 16:19:08.363, NVIDIA GeForce RTX 3090, 4291, 24576, 45, 251.84
2026/08/01 16:19:09.463, NVIDIA GeForce RTX 3090, 4291, 24576, 51, 255.85
2026/08/01 16:19:10.517, NVIDIA GeForce RTX 3090, 4291, 24576, 55, 255.52
2026/08/01 16:19:11.568, NVIDIA GeForce RTX 3090, 4291, 24576, 47, 255.85
2026/08/01 16:19:12.621, NVIDIA GeForce RTX 3090, 4291, 24576, 50, 256.49
2026/08/01 16:19:13.695, NVIDIA GeForce RTX 3090, 4291, 24576, 50, 250.63
2026/08/01 16:19:14.745, NVIDIA GeForce RTX 3090, 4291, 24576, 60, 266.96
2026/08/01 16:19:15.819, NVIDIA GeForce RTX 3090, 4291, 24576, 61, 252.14
2026/08/01 16:19:16.868, NVIDIA GeForce RTX 3090, 4291, 24576, 52, 254.38
2026/08/01 16:19:17.938, NVIDIA GeForce RTX 3090, 4291, 24576, 62, 253.84
2026/08/01 16:19:19.007, NVIDIA GeForce RTX 3090, 4291, 24576, 62, 261.14
2026/08/01 16:19:20.074, NVIDIA GeForce RTX 3090, 4291, 24576, 44, 255.38
2026/08/01 16:19:21.167, NVIDIA GeForce RTX 3090, 4291, 24576, 48, 254.50
2026/08/01 16:19:22.238, NVIDIA GeForce RTX 3090, 4291, 24576, 57, 256.85
2026/08/01 16:19:23.311, NVIDIA GeForce RTX 3090, 4291, 24576, 56, 258.56
2026/08/01 16:19:24.368, NVIDIA GeForce RTX 3090, 4291, 24576, 39, 253.97
2026/08/01 16:19:25.420, NVIDIA GeForce RTX 3090, 15053, 24576, 88, 253.59
