image_names,VIF,SCD,MI,Qabf,SSIM,MS_SSIM,FMI
00000.png,0.802533782666277,1.71275347136227,2.97294025760286,0.7127583964524,0.968270794960213,0.925271132166436,0.89143068595477
00011.png,0.797464608051524,1.72052215566643,2.91161503461792,0.710443972933472,0.968018675369862,0.92485062714051,0.889350258459978
00025.png,0.869237741854286,1.70634165750375,3.1314753925434,0.693348841917416,0.974450910678525,0.930329844400983,0.905603449941545
00031.png,0.853784492412277,1.72910545681712,3.23434531980582,0.696878497811105,0.975867705309917,0.933322279210233,0.904441126916059
00033.png,0.778744571832486,1.71361237794681,2.86300924334412,0.70147520160994,0.96657765655699,0.924370947712761,0.889707826702232
00042.png,0.848176209522545,1.65340732816394,3.34075501775444,0.705606206501997,0.976987857135101,0.933547201974733,0.900111676988702
00061.png,0.906527026886383,1.72022436805603,3.24811420316807,0.718448905012303,0.981480951854686,0.956283268179718,0.917068759073841
00071.png,0.9471961012307,1.70377886327841,3.60727359287345,0.737333860541955,0.984202468810527,0.956465443138093,0.920423307281383
00082.png,0.774063724584665,1.64272613552314,2.4112890683227,0.68255794377663,0.966934827664424,0.903823180326938,0.890170316217634
00097.png,0.903422869381853,1.59959753024294,3.30108799228456,0.690450473924064,0.979361486639531,0.93761988300022,0.910029282741226
00107.png,0.806736977064096,1.63788618502177,2.67189366811574,0.711076096201197,0.970055565790365,0.917479623668439,0.888514621820476
00112.png,0.79377086840558,1.48925188840285,2.94466901967224,0.700332549972981,0.96888566539027,0.920647482959093,0.891136019886451
00118.png,0.755651258880815,1.5649947831782,2.68613809373285,0.681543484700927,0.960547204997488,0.902059676973028,0.897186858099743
00147.png,0.876035349043343,1.57193025342611,3.25063834571045,0.720575006985251,0.978146173879931,0.944377953811826,0.887742346237719
00149.png,0.917348269572655,1.61367912297925,3.6824212972894,0.727380667557608,0.975210068616461,0.95805796208197,0.891141012578364
00150.png,0.907557167946096,1.56388394336799,3.58460593528928,0.732611552764966,0.977621098943349,0.959487988198308,0.887239771227047
